証券コード	EDINETコード	会社名	業種	取引所	書類種類	決算日	提出日	訂正報告書	監査法人	会計方式
8341.0	E03545	㈱七十七銀行	銀行業	東証一部、札証上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
	E03538	㈱りそな銀行	非公開	非上場	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
	E03533	㈱三菱ＵＦＪ銀行	非公開	非上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8304.0	E03531	㈱あおぞら銀行	銀行業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8303.0	E03530	㈱新生銀行	銀行業	東証一部	有価証券報告書	20190331	20190620	--	有限責任監査法人トーマツ	日本基準
3088.0	E03519	㈱マツモトキヨシホールディングス	小売業	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
3059.0	E03494	ヒラキ㈱	小売業	東証二部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
3020.0	E03472	アプライド㈱	小売業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
4337.0	E03379	ぴあ㈱	サービス業	東証一部	有価証券報告書	20190331	20190617	--	有限責任監査法人トーマツ	日本基準
2681.0	E03367	㈱ゲオホールディングス	小売業	東証一部	有価証券報告書	20190331	20190626	訂正(2019/07/08)	有限責任監査法人トーマツ	日本基準
7606.0	E03316	㈱ユナイテッドアローズ	小売業	東証一部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
7522.0	E03275	ワタミ㈱	小売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
7419.0	E03235	㈱ノジマ	小売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
9994.0	E03227	㈱やまや	小売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
9969.0	E03213	㈱ショクブン	小売業	東証二部、名証二部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
9959.0	E03208	アシードホールディングス㈱	小売業	東証二部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
9936.0	E03193	㈱王将フードサービス	小売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
9828.0	E03176	元気寿司㈱	小売業	東証一部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
9887.0	E03164	㈱松屋フーズホールディングス	小売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
9873.0	E03157	日本ＫＦＣホールディングス㈱	小売業	東証二部	有価証券報告書	20190331	20190618	--	有限責任監査法人トーマツ	日本基準
9832.0	E03138	㈱オートバックスセブン	卸売業	東証一部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
8255.0	E03133	アクシアル　リテイリング㈱	小売業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8281.0	E03129	ゼビオホールディングス㈱	小売業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8218.0	E03120	㈱コメリ	小売業	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
8215.0	E03117	㈱銀座山形屋	小売業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8087.0	E03107	フルサト工業㈱	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
2795.0	E02964	日本プリメックス㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
2773.0	E02959	㈱ミューチュアル	機械	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
2750.0	E02952	石光商事㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
2733.0	E02947	㈱あらた	卸売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
2692.0	E02931	伊藤忠食品㈱	卸売業	東証一部	有価証券報告書	20190331	20190620	--	有限責任監査法人トーマツ	日本基準
7565.0	E02875	萬世電機㈱	卸売業	東証二部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
7510.0	E02851	㈱たけびし	卸売業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7504.0	E02850	㈱高速	卸売業	東証一部	有価証券報告書	20190331	20190619	--	有限責任監査法人トーマツ	日本基準
7490.0	E02845	日新商事㈱	卸売業	東証二部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
7486.0	E02841	サンリン㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190619	--	有限責任監査法人トーマツ	日本基準
7480.0	E02838	スズデン㈱	卸売業	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
	E02814	日本酒類販売㈱	非公開	非上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7441.0	E02813	㈱Ｍｉｓｕｍｉ	卸売業	福証上場	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
7444.0	E02807	ハリマ共和物産㈱	卸売業	東証二部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
7438.0	E02804	コンドーテック㈱	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
7417.0	E02792	㈱南陽	卸売業	東証一部、福証上場	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
9996.0	E02786	㈱サトー商会	卸売業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
9987.0	E02780	㈱スズケン	卸売業	東証一部、名証一部、札証上場	有価証券報告書	20190331	20190626	訂正(2019/08/01)	有限責任監査法人トーマツ	日本基準
9984.0	E02778	ソフトバンクグループ㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190619	--	有限責任監査法人トーマツ	IFRS基準
9962.0	E02770	㈱ミスミグループ本社	卸売業	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
9934.0	E02761	因幡電機産業㈱	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
9932.0	E02760	杉本商事㈱	卸売業	東証一部	有価証券報告書	20190331	20190614	訂正(2019/06/17)	有限責任監査法人トーマツ	日本基準
9906.0	E02747	藤井産業㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
9818.0	E02739	大丸エナウィン㈱	卸売業	東証二部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
9896.0	E02732	ＪＫホールディングス㈱	卸売業	東証一部	有価証券報告書	20190331	20190626	訂正(2019/08/01)	有限責任監査法人トーマツ	日本基準
9880.0	E02724	イノテック㈱	卸売業	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
9867.0	E02718	ソレキア㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190627	訂正(2019/07/16)	有限責任監査法人トーマツ	日本基準
9857.0	E02713	英和㈱	卸売業	東証二部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
9852.0	E02712	ＣＢグループマネジメント㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8228.0	E02698	㈱マルイチ産商	卸売業	名証二部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8071.0	E02684	東海エレクトロニクス㈱	卸売業	名証二部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8037.0	E02682	カメイ㈱	卸売業	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
8159.0	E02678	㈱立花エレテック	卸売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8152.0	E02673	ソマール㈱	卸売業	東証二部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8150.0	E02671	三信電気㈱	卸売業	東証一部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
8140.0	E02663	㈱リョーサン	卸売業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8133.0	E02643	伊藤忠エネクス㈱	卸売業	東証一部	有価証券報告書	20190331	20190619	--	有限責任監査法人トーマツ	IFRS基準
9810.0	E02640	日鉄物産㈱	卸売業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8046.0	E02616	丸藤シートパイル㈱	卸売業	東証二部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8045.0	E02615	横浜丸魚㈱	卸売業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8056.0	E02611	日本ユニシス㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8081.0	E02580	㈱カナデン	卸売業	東証一部	有価証券報告書	20190331	20190619	--	有限責任監査法人トーマツ	日本基準
8059.0	E02578	第一実業㈱	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8103.0	E02563	明和産業㈱	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8076.0	E02561	㈱カノークス	卸売業	名証二部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8051.0	E02560	㈱山善	卸売業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7451.0	E02558	三菱食品㈱	卸売業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8058.0	E02529	三菱商事㈱	卸売業	東証一部、名証一部	有価証券報告書	20190331	20190621	訂正(2019/07/05)	有限責任監査法人トーマツ	IFRS基準
8293.0	E02514	㈱ＡＴグループ	小売業	名証二部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8031.0	E02513	三井物産㈱	卸売業	東証一部、名証一部、札証上場、福証上場	有価証券報告書	20190331	20190620	--	有限責任監査法人トーマツ	IFRS基準
8014.0	E02509	蝶理㈱	卸売業	東証一部	有価証券報告書	20190331	20190619	--	有限責任監査法人トーマツ	日本基準
8001.0	E02497	伊藤忠商事㈱	卸売業	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	IFRS基準
4974.0	E02474	タカラバイオ㈱	化学	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7840.0	E02472	フランスベッドホールディングス㈱	その他製品	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
7860.0	E02453	エイベックス㈱	情報・通信業	東証一部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
7873.0	E02446	㈱アーク	その他製品	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
5965.0	E02445	㈱フジマック	金属製品	東証二部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
7874.0	E02444	レック㈱	化学	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
5956.0	E02442	トーソー㈱	金属製品	東証二部	有価証券報告書	20190331	20190627	訂正(2019/07/31)	有限責任監査法人トーマツ	日本基準
7885.0	E02435	タカノ㈱	その他製品	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
6907.0	E02431	ジオマテック㈱	電気機器	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7895.0	E02429	中央化学㈱	化学	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7906.0	E02427	ヨネックス㈱	その他製品	東証二部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
6419.0	E02424	㈱マースグループホールディングス	機械	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7947.0	E02412	㈱エフピコ	化学	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
6412.0	E02403	㈱平和	機械	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
6961.0	E02390	㈱エンプラス	電気機器	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
7722.0	E02335	国際計測器㈱	精密機器	ＪＱＳ	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
7717.0	E02334	㈱ブイ・テクノロジー	精密機器	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7715.0	E02329	長野計器㈱	精密機器	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
7703.0	E02310	川澄化学工業㈱	精密機器	東証二部	有価証券報告書	20190331	20190620	--	有限責任監査法人トーマツ	日本基準
6859.0	E02307	エスペック㈱	電気機器	東証一部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
7769.0	E02294	リズム時計工業㈱	精密機器	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
7734.0	E02285	理研計器㈱	精密機器	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
7731.0	E02271	㈱ニコン	精密機器	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	IFRS基準
7723.0	E02267	愛知時計電機㈱	精密機器	東証一部、名証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
7721.0	E02266	東京計器㈱	精密機器	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
7701.0	E02265	㈱島津製作所	精密機器	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7305.0	E02258	新家工業㈱	鉄鋼	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
6355.0	E02255	住友精密工業㈱	機械	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
7208.0	E02248	㈱カネミツ	輸送用機器	東証二部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
7214.0	E02247	ＧＭＢ㈱	輸送用機器	東証一部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
7264.0	E02234	㈱ムロコーポレーション	輸送用機器	ＪＱＳ	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
5970.0	E02228	㈱ジーテクト	金属製品	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
7299.0	E02225	フジオーゼックス㈱	輸送用機器	東証二部	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
